Task chain id, max data age, max reaction time
0, 1.1323, 1.1323
1, 101.198, 101.198
2, 21.1258, 21.1258
3, 101.611, 101.611
4, 402.181, 402.181
5, 100.908, 100.908
6, 12.0735, 12.0735
7, 1.48415, 1.48415
8, 201.389, 201.389
9, 28.0352, 38.0352
10, 17.6543, 17.6543
11, 2.50164, 2.50164
12, 21.552, 21.552
13, 20.2842, 20.2842
14, 100.733, 100.733
15, 10.9347, 10.9347
16, 100.908, 100.908
17, 52.7071, 52.7071
18, 19.0572, 19.0572
19, 101.95, 101.95
20, 2.63842, 2.63842
21, 300.867, 300.867
22, 8.99996, 8.99996
23, 102.727, 250.967
24, 2.46154, 2.46154
