Job Name,Period,Release Phase,Deadline,BCET,WCET,Release Jitter
T(68 1),1,0,1,0.0248571573,3.10714E-2,[0 to 0]
T(55 1),2,0,2,0.00941019280,1.17627E-2,[0 to 0]
T(48 1),2,0,2,0.0952852626,1.19107E-1,[0 to 0]
T(35 1),2,0,2,0.0320860478,4.01076E-2,[0 to 0]
T(20 1),2,0,2,0.0333398999,4.16749E-2,[0 to 0]
T(36 1),10,0,10,0.00931536043,1.16442E-2,[0 to 0]
T(25 1),10,0,10,0.125610271,1.57013E-1,[0 to 0]
T(33 1),10,0,10,0.0576402835,7.20504E-2,[0 to 0]
T(41 1),10,0,10,0.0347663082,4.34579E-2,[0 to 0]
T(14 1),10,0,10,0.0534803766,6.68505E-2,[0 to 0]
T(34 1),10,0,10,0.358082939,4.47604E-1,[0 to 0]
T(2 1),10,0,10,0.0641109865,8.01387E-2,[0 to 0]
T(39 1),10,0,10,0.0312183499,3.90229E-2,[0 to 0]
T(28 1),10,0,10,0.0546117401,6.82647E-2,[0 to 0]
T(66 1),10,0,10,0.0203877074,2.54846E-2,[0 to 0]
T(30 1),10,0,10,0.0726630573,9.08288E-2,[0 to 0]
T(12 1),10,0,10,0.0180977251,2.26222E-2,[0 to 0]
T(1 1),10,0,10,0.0203342156,2.54178E-2,[0 to 0]
T(31 1),10,0,10,0.147197273,1.83997E-1,[0 to 0]
T(49 1),10,0,10,0.144090844,1.80114E-1,[0 to 0]
T(42 1),10,0,10,0.537543787,6.71930E-1,[0 to 0]
T(50 1),10,0,10,0.0651895904,8.14870E-2,[0 to 0]
T(62 1),10,0,10,0.118514301,1.48143E-1,[0 to 0]
T(0 1),10,0,10,0.00356846663,4.46058E-3,[0 to 0]
T(45 1),10,0,10,0.0259589104,3.24486E-2,[0 to 0]
T(7 1),10,0,10,0.0727227284,9.09034E-2,[0 to 0]
T(69 1),10,0,10,0.151155572,1.88944E-1,[0 to 0]
T(32 1),10,0,10,0.0611020389,7.63775E-2,[0 to 0]
T(3 1),20,0,20,0.0146001346,1.82502E-2,[0 to 0]
T(4 1),20,0,20,0.0432138431,5.40173E-2,[0 to 0]
T(5 1),20,0,20,0.0267227834,3.34035E-2,[0 to 0]
T(67 1),20,0,20,0.00583409019,7.29261E-3,[0 to 0]
T(16 1),20,0,20,0.00987802297,1.23475E-2,[0 to 0]
T(60 1),20,0,20,0.224671060,2.80839E-1,[0 to 0]
T(6 1),20,0,20,0.0301049092,3.76311E-2,[0 to 0]
T(26 1),20,0,20,0.0172284186,2.15355E-2,[0 to 0]
T(43 1),20,0,20,0.0875550041,1.09444E-1,[0 to 0]
T(51 1),20,0,20,0.101849575,1.27312E-1,[0 to 0]
T(17 1),20,0,20,0.00641881828,8.02352E-3,[0 to 0]
T(29 1),20,0,20,0.00653815967,8.17270E-3,[0 to 0]
T(24 1),20,0,20,0.0294760286,3.68450E-2,[0 to 0]
T(56 1),20,0,20,0.162809487,2.03512E-1,[0 to 0]
T(11 1),20,0,20,0.00255867627,3.19835E-3,[0 to 0]
T(18 1),20,0,20,0.194194020,2.42743E-1,[0 to 0]
T(47 1),20,0,20,0.0289037180,3.61296E-2,[0 to 0]
T(61 1),20,0,20,0.0237898982,2.97374E-2,[0 to 0]
T(46 1),20,0,20,0.103214984,1.29019E-1,[0 to 0]
T(40 1),20,0,20,0.0398373147,4.97966E-2,[0 to 0]
T(52 1),20,0,20,0.0287046142,3.58808E-2,[0 to 0]
T(53 1),50,0,50,0.114306077,1.42883E-1,[0 to 0]
T(15 1),50,0,50,0.166855790,2.08570E-1,[0 to 0]
T(64 1),50,0,50,0.00274059146,3.42574E-3,[0 to 0]
T(57 1),50,0,50,0.00798680670,9.98351E-3,[0 to 0]
T(21 1),100,0,100,0.0839975698,1.04997E-1,[0 to 0]
T(37 1),100,0,100,0.00880928732,1.10116E-2,[0 to 0]
T(54 1),100,0,100,0.0978559825,1.22320E-1,[0 to 0]
T(8 1),100,0,100,0.00519561445,6.49452E-3,[0 to 0]
T(58 1),100,0,100,0.0358947601,4.48685E-2,[0 to 0]
T(9 1),100,0,100,0.0758512191,9.48140E-2,[0 to 0]
T(27 1),100,0,100,0.0175941667,2.19927E-2,[0 to 0]
T(22 1),100,0,100,0.0453824319,5.67280E-2,[0 to 0]
T(59 1),100,0,100,0.00348087360,4.35109E-3,[0 to 0]
T(10 1),100,0,100,0.0436795468,5.45994E-2,[0 to 0]
T(63 1),100,0,100,0.0755531478,9.44414E-2,[0 to 0]
T(44 1),100,0,100,0.0145425725,1.81782E-2,[0 to 0]
T(65 1),100,0,100,0.0253668135,3.17085E-2,[0 to 0]
T(19 1),100,0,100,0.00188361463,2.35452E-3,[0 to 0]
T(23 1),100,0,100,0.0113644554,1.42056E-2,[0 to 0]
T(38 1),100,0,100,0.0393584499,4.91981E-2,[0 to 0]
T(13 1),1000,0,1000,0.00123621080,1.54526E-3,[0 to 0]
